soc6_id,ai,software,robot,nra,nri,nrm,rc,rm,req,wages,employment
11-1011,1.3185762087398116,-0.453257633,-0.731258523,1.583306692883066,2.1437966754579367,-1.52919914,-1.628321272,-1.267658435,high,118.47999999999999,199240
11-1021,0.5522023135434131,-0.227019335,-0.429514643,0.34933720385120054,1.690165279645344,-0.71771298,-0.609792211,-0.505641743,high,59.07,3376680
Nov-21,1.2783495084707153,0.014376569715193762,-0.665351762,0.2135415184553493,0.046177815121511014,-1.232152059,-0.618805743,-1.113493208,high,70.7,22010
Nov-21,1.2991849591106082,-0.19932192,-0.733962185,0.8629991442615946,1.594663933158482,-1.291893371,-1.348901795,-1.289682039,high,76.1,328570
Nov-22,1.249983220694718,0.40917793306789985,-0.252468702,1.1345905150532971,2.215422685323081,-1.119307357,-1.105536444,-1.611226654,high,72.37,536390
Nov-23,1.277645069403307,0.5227083618992904,-0.337109686,NA,NA,NA,NA,NA,high,72.13,64280
Nov-24,1.277645069403307,0.5227083618992904,-0.337109686,NA,NA,NA,NA,NA,high,59.83,26240
Nov-12,0.7186744860198314,1.4887529215668218,-0.149698847,0.16040407634392956,1.471876487675374,-0.558402813,0.021154994263601512,-0.31623875,medium,55.59,236570
Nov-13,0.7186744860198314,1.4887529215668218,-0.149698847,NA,NA,NA,NA,NA,high,50.95,116980
Nov-21,1.0416519264713622,-0.992480475,-0.822721451,0.8452866635577883,1.4309473391810048,-0.721031941,-0.258264482,-0.443975652,high,83.48999999999998,533220
Nov-31,1.4315952823827782,-0.46836162,-0.751251197,0.9495934943690941,1.2626830620374867,-1.38150534,0.186403072,-1.233888909,high,79.83,740780
Nov-51,0.48540221375512577,0.2713392662524121,-0.25900479,0.5786154262949201,1.4434534678876176,-0.376413075,-0.077993852,0.13744748891259975,high,58.130000000000024,211710
Nov-61,1.4085788964639894,-1.071633768,-0.821992626,0.7685325805079591,1.8470603488737602,-1.384824301,0.4447909751419941,-0.985756306,high,67.62,75070
Nov-71,0.8710316372974343,0.3561533936282514,-0.438785073,0.7508201,1.7413267152633045,-0.858768856,-0.488109536,-0.668616411,high,52.36,169910
Nov-11,1.2822330063666858,-0.221007874,-0.724167107,0.8511908237923899,1.6083069826566052,-1.182367632,-0.754008715,-1.351348129,high,68.82,16850
Nov-21,1.3046196358699118,-0.813235683,-0.803084029,1.205440437868524,2.556498922776159,-1.208919326,-0.979347003,-1.073850721,high,70.07,181360
Nov-31,1.2682935903222101,-0.600776612,-0.749701599,1.1936321173993192,2.781609239495191,-1.162453861,-1.348901795,-1.104683766,high,63.51,39550
Nov-13,-0.173678446,1.1207800147963525,-0.207783994,0.591407773,0.844296211,0.5700441983529034,-1.294820606,0.15506637196746825,high,40.29,6250
Nov-21,1.0106545890553453,0.11823863647610627,-0.605203953,0.5264620108892676,1.1990154977129124,-0.800687025,-0.817103436,-0.981351585,high,54.22,303220
Nov-31,0.8177593915884519,-0.235086111,-0.745953251,-0.2587913,1.9425616953606206,-0.863747299,-0.150102104,-1.025398793,high,27.7,60010
Nov-32,1.0305080637459711,-0.28857896,-0.509453413,1.5537858917100549,2.8157168632404983,-1.252065829,-0.645846337,-1.461466148,high,NA,285910
Nov-33,1.446649892079813,-0.866606921,-0.744269218,1.2467695595107398,1.7720235766340826,-1.666936054,-1.475091236,-1.329324525,high,55.38,167060
